docSeqNo,name,measure,calcium
304,"Crackers, wheat, sandwich, with peanut butter filling","0.5 oz",24
305,"Soup, chicken gumbo, canned, condensed","0.5 cups",24
306,"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat","3.0 oz",24
307,"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only","3.0 oz",24
308,"Squash, winter, hubbard, cooked, boiled, mashed, with salt","1.0 cups, mashed",24
309,"Squash, winter, hubbard, cooked, boiled, mashed, without salt","1.0 cups, mashed",24
310,"Apricots, canned, heavy syrup pack, with skin, solids and liquids","1.0 cups, halves",23
311,"Carrots, frozen, unprepared","0.5 cups slices",23
312,"Bread, irish soda, prepared from recipe","1.0 oz",23
313,"Bologna, chicken, turkey, pork","1.0 serving",23
314,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat","3.0 oz",23
315,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat","3.0 oz",23
316,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade)","3.0 oz",23
317,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat","3.0 oz",23
318,"Fish, grouper, mixed species, raw","3.0 oz",23
319,"Cowpeas, leafy tips, raw","1.0 cups, chopped",23
320,"Figs, raw","1.0 large",22
321,"Bread, stuffing, cornbread, dry mix","1.0 oz",22
322,"Soup, cream of shrimp, canned, prepared with equal volume water","1.0 cups",22
323,"Apricots, canned, heavy syrup, drained","1.0 cups, halves",22
324,"Seeds, safflower seed meal, partially defatted","1.0 oz",22
325,"Beets, raw","1.0 cups",22
326,"Beef, short loin, porterhouse steak, separable lean and fat","4.0 oz",21
327,"Cereals, QUAKER, Instant Oatmeal Organic, Regular","1.0 packet",21
328,"Fish, trout, rainbow, farmed, cooked, dry heat","1.0 fillet",21
329,"Pie, banana cream, prepared from recipe","1.0 oz",21
330,"Cauliflower, green, raw","1.0 cups",21
331,"Sausage, Italian, sweet, links","1.0 link 3 oz",21
332,"Cookies, molasses","1.0 oz",21
333,"Asparagus, cooked, boiled, drained","0.5 cups",21
334,"Bread, rye","1.0 oz",21
335,"Wheat flour, white, bread, enriched","1.0 cups",21
336,"Bread, oatmeal, toasted","1.0 oz",20
337,"Pancakes, plain, frozen, ready-to-heat, microwave","1.0 oz",20
338,"Flan, caramel custard, dry mix","1.0 package (3 oz)",20
339,"Cherries, sour, red, frozen, unsweetened","1.0 cups, unthawed",20
340,"Danish pastry, cinnamon, enriched","1.0 oz",20
341,"Grapefruit juice, white, canned, sweetened","1.0 cups",20
342,"Focaccia, Italian flatbread, plain","1.0 piece",20
343,"Cake, sponge, commercially prepared","1.0 oz",20
344,"Potatoes, baked, skin, without salt","1.0 skin",20
345,"Bamboo shoots, raw","1.0 cups",20
346,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat","3.0 oz",20
